league,player,team,season,pos,age,minutes,nineties,goals_per90,assists_per90,ga_per90,shots_per90,sot_per90,g_per_sh,crosses_per90,fouls_drawn_per90,fouls_committed_per90,offsides_per90,season_end_year,us_position,us_minutes,npxg,xg,xa,np_goals,goals_us,key_passes,shots_us,xg_chain,xg_buildup,npxg_per90,xa_per90,npxg_xa_per90,key_passes_per90,key_passes_per100,goals_minus_npxg,goals_minus_npxg_per90,npxg_per_shot,in_bundesliga,crosses_per90_z,fouls_drawn_per90_z,sot_per90_z,npxg_xa_per90_z,winger_score,likely_winger,side_review,sofifa_player_id,fc_overall,fc_potential,fc_age,fc_value_eur,fc_pos,fifa_edition,sofifa_update,sofifa_version_id
GER-Bundesliga,Justin Njinmah,Werder Bremen,2324,FW,22,1016,11.3,0.53,0.18,0.71,2.92,1.24,0.18,0.8849557522123893,1.7699115044247786,0.5309734513274336,0.7964601769911503,2024,F M S,1011.0,4.3166096322238445,4.3166096322238445,2.432547379285097,6.0,6.0,13.0,33.0,8.9449203312397,2.3999127810820937,0.3842679197825381,0.2165472444467445,0.6008151642292827,1.1572700296735905,1.2858555885262115,1.6833903677761557,0.1498567092975806,0.1308063524916316,True,-0.5962706465500718,0.6018828761825695,0.8334870089320453,0.7525541759075522,0.3979133536180238,True,,266183.0,67.0,77.0,22.0,2300000.0,ST,FC 24,"Aug 11, 2023",240001.0
GER-Bundesliga,Daichi Kamada,Eintracht Frankfurt,1920,"MF,FW",22,1969,21.9,0.09,0.18,0.27,2.1,0.82,0.04,4.018264840182649,1.7351598173515983,1.2785388127853885,0.319634703196347,2020,F M S,1970.0,6.370812978595495,6.370812978595495,3.510614726226777,2.0,2.0,38.0,46.0,13.206479104235768,5.602587649598718,0.2910523695805048,0.1603834138885329,0.4514357834690378,1.7360406091370555,1.9289340101522845,-4.370812978595495,-0.1996818112048703,0.1384959343172933,True,1.1404685597940092,0.5487812215670841,-0.1430474261962397,0.0422667090071279,0.3971172660429953,True,,232730.0,73.0,79.0,22.0,5500000.0,CF,FIFA 20,"Aug 20, 2019",200001.0
GER-Bundesliga,Christopher Nkunku,RB Leipzig,2223,"FW,MF",24,1897,21.1,0.62,0.19,0.81,3.51,1.42,0.18,0.8056872037914692,1.753554502369668,0.9004739336492891,0.5687203791469194,2023,,,,,,,,,,,,,,,,,,,,True,-0.6402078362774272,0.5768888702269395,1.2520017668441674,,0.3962276002645599,True,,232411.0,86.0,89.0,24.0,94000000.0,CF,FIFA 23,"Sep 1, 2022",230001.0
GER-Bundesliga,Patrick Wimmer,Wolfsburg,2223,"MF,FW",21,1648,18.3,0.22,0.44,0.66,1.69,0.76,0.13,3.715846994535519,1.7486338797814207,2.295081967213114,0.3825136612021858,2023,F M S,1709.0,4.009688466787338,4.009688466787338,5.654376212507486,4.0,4.0,38.0,31.0,10.894396804273129,2.442955546081066,0.2111597203106263,0.29777288421631,0.5089326045269363,2.0011702750146285,2.2235225277940316,-0.0096884667873382,-0.0005102176775075,0.1293447892512044,True,0.9728435619123866,0.5693700064484979,-0.2825523455002802,0.3156596711160624,0.3938302234941667,True,,254566.0,76.0,85.0,21.0,17000000.0,RM,FIFA 23,"Sep 1, 2022",230001.0
ENG-Premier League,Amine Adli,Bournemouth,2526,MF,25,1093,12.1,0.25,0.08,0.33,1.65,0.74,0.15,3.2231404958677685,1.900826446280992,2.396694214876033,0.4132231404958678,2026,,,,,,,,,,,,,,,,,,,,False,0.6997448444120589,0.8019249636880148,-0.3290539852682939,,0.3908719409439266,True,,228093.0,71.0,79.0,20.0,3600000.0,ST,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Marius Bülter,Hoffenheim,2425,"MF,FW",31,1729,19.2,0.36,0.1,0.47,1.98,0.83,0.18,4.479166666666667,1.875,0.5729166666666667,0.3125,2025,D F M S,1772.0,3.648140865378082,3.648140865378082,3.039690352976322,7.0,7.0,22.0,38.0,7.931092381477356,2.67352965567261,0.1852893216049815,0.1543860788757725,0.3396754004807541,1.1173814898419865,1.2415349887133182,3.351859134621918,0.1702411524356504,0.0960037069836337,True,1.395938495844566,0.7624613535481486,-0.1197966063122328,-0.4891453167260487,0.3873644815886082,True,,244390.0,75.0,75.0,31.0,4700000.0,LM,FC 25,"Aug 7, 2024",250001.0
GER-Bundesliga,Timo Werner,RB Leipzig,1819,FW,22,2509,27.9,0.57,0.25,0.83,3.84,1.43,0.15,1.6845878136200718,1.3978494623655917,0.8960573476702509,1.3261648745519714,2019,,,,,,,,,,,,,,,,,,,,True,-0.1530483813007515,0.0333605477167739,1.275252586728174,,0.3851882510480655,True,,212188.0,83.0,87.0,22.0,34500000.0,ST,FIFA 19,"Aug 21, 2018",190002.0
GER-Bundesliga,Vincenzo Grifo,Freiburg,2425,MF,31,2432,27.0,0.3,0.41,0.7,2.44,1.07,0.12,5.814814814814815,0.4444444444444444,0.5555555555555556,0.074074074074074,2025,F M S,2510.0,5.7157554272562265,7.989085482433438,8.86034712381661,8.0,8.0,65.0,66.0,14.169706366956234,6.400352879427373,0.2049474057581914,0.3177016896986035,0.5226490954567949,2.3306772908366535,2.589641434262948,2.2842445727437735,0.0819051838832428,0.0866023549584276,True,2.136265236565963,-1.4234718605547432,0.4382230709039301,0.3808805305663298,0.38297424437037,True,,212096.0,80.0,80.0,31.0,17500000.0,LM,FC 25,"Aug 7, 2024",250001.0
GER-Bundesliga,Marco Richter,Augsburg,1819,"MF,FW",20,1426,15.8,0.25,0.38,0.63,3.47,1.45,0.07,2.2784810126582276,1.6455696202531644,1.3924050632911391,0.5063291139240506,2019,F M S,1434.0,3.430768808349967,3.430768808349967,2.3449832126498222,4.0,4.0,16.0,55.0,8.431046262383461,3.559801877476275,0.2153202180972782,0.1471746786181896,0.3624948967154679,1.00418410041841,1.1157601115760112,0.569231191650033,0.0357258070073242,0.0623776146972721,True,0.1761363796635214,0.4118846244828573,1.3217542264961877,-0.3806403671539706,0.3822837158721489,True,,238068.0,66.0,76.0,20.0,1000000.0,RM,FIFA 19,"Aug 21, 2018",190002.0
ESP-La Liga,Fábio Silva,Las Palmas,2425,FW,22,1866,20.7,0.39,0.14,0.53,2.36,1.16,0.16,0.9178743961352658,2.077294685990338,1.884057971014493,0.9661835748792272,2025,,,,,,,,,,,,,,,,,,,,False,-0.578024409771186,1.0715739017644712,0.6474804498599909,,0.380343313951092,True,,,,,,,,,,
